srcLat,srcLon,targetLat,targetLon,value,Destination,Source
-32.962753,27.834764,43.211226,-2.035334,"2,045,991",,
41.692178,12.59133,43.211226,-2.035334,"50,924",,
41.692178,12.59133,43.211226,-2.035334,"51,825",,
41.692178,12.59133,43.211226,-2.035334,"104,791",,
41.692178,12.59133,43.211226,-2.035334,"236,939",,
-32.962753,27.834764,53.09629,-2.030955,"4,258",,
24.988028,55.190533,53.09629,-2.030955,"2,831",,
24.988028,55.190533,53.09629,-2.030955,"3,055",,
24.988028,55.190533,53.09629,-2.030955,"24,485",,
24.988028,55.190533,53.09629,-2.030955,"44,183",,
24.988028,55.190533,53.09629,-2.030955,"55,325",,
30.098749,31.373572,53.09629,-2.030955,179,,
30.098749,31.373572,53.09629,-2.030955,686,,
30.098749,31.373572,53.09629,-2.030955,845,,
30.098749,31.373572,53.09629,-2.030955,868,,
30.098749,31.373572,53.09629,-2.030955,"1,685",,
30.098749,31.373572,53.09629,-2.030955,"4,671",,
30.098749,31.373572,53.09629,-2.030955,"28,995",,
30.098749,31.373572,53.09629,-2.030955,"34,101",,
41.692178,12.59133,53.09629,-2.030955,2,,
41.692178,12.59133,53.09629,-2.030955,29,,
41.692178,12.59133,53.09629,-2.030955,160,,
41.692178,12.59133,53.09629,-2.030955,218,,
41.692178,12.59133,53.09629,-2.030955,218,,
41.692178,12.59133,53.09629,-2.030955,465,,
41.692178,12.59133,53.09629,-2.030955,"1,143",,
41.692178,12.59133,53.09629,-2.030955,"1,718",,
41.692178,12.59133,53.09629,-2.030955,"7,564",,
41.692178,12.59133,53.09629,-2.030955,"13,562",,
41.692178,12.59133,53.09629,-2.030955,"54,558",,
41.692178,12.59133,53.09629,-2.030955,"185,499",,
41.692178,12.59133,53.09629,-2.030955,"441,354",,
41.692178,12.59133,53.09629,-2.030955,"491,656",,
49.256774,1.185913,53.09629,-2.030955,16,,
49.256774,1.185913,53.09629,-2.030955,20,,
49.256774,1.185913,53.09629,-2.030955,38,,
49.256774,1.185913,53.09629,-2.030955,46,,
49.256774,1.185913,53.09629,-2.030955,54,,
49.256774,1.185913,53.09629,-2.030955,115,,
49.256774,1.185913,53.09629,-2.030955,214,,
49.256774,1.185913,53.09629,-2.030955,230,,
49.256774,1.185913,53.09629,-2.030955,236,,
49.256774,1.185913,53.09629,-2.030955,367,,
49.256774,1.185913,53.09629,-2.030955,428,,
49.256774,1.185913,53.09629,-2.030955,428,,
49.256774,1.185913,53.09629,-2.030955,486,,
49.256774,1.185913,53.09629,-2.030955,606,,
